"treatment","replicate","cohort","sex","individual","femur","head","tarsus","thorax","tibia","wing","thorax_c"
"NT","1",1,"F","13",8.91013017432921,9.54562007368024,7.31105934874826,9.67834474224633,8.65474950040732,10.8666990972037,-0.0778277470555953
"NT","1",1,"F","14",8.68638540911277,9.34253271744102,7.1488172901157,9.39890781350227,8.41544788097032,10.6129051400867,-0.357264675799653
"NT","1",1,"F","15",8.81368095313862,9.56647726981888,7.21054083473301,9.79013056897051,8.62111680676226,10.8958246911081,0.033958079668583
"NT","1",1,"F","16",8.9375893357073,9.62701343040421,7.48525887197229,9.84512447549954,8.68932007789838,10.9333279969927,0.0889519861976122
"NT","1",1,"F","17",8.9537254191822,9.52071730429655,7.34431722930388,9.77065686679312,8.62440474988734,10.9009687361589,0.0144843774911969
"NT","1",1,"F","18",8.9353876170477,9.51095238701806,7.32739153942439,9.7115611773225,8.74851041527596,10.9062049726701,-0.0446113119794251
"NT","1",1,"F","19",8.90162114986943,9.5286664989994,7.2662495810509,9.66836074464666,8.67738811740671,10.8292066927561,-0.0878117446552622
"NT","1",1,"F","2",8.85622355929049,9.4878922650889,7.29260737567637,9.72960738518867,8.55202585224701,10.8593584709685,-0.0265651041132529
"NT","1",1,"F","20",8.95363341453916,9.52668148374952,7.32777577029809,9.67392652305347,8.68745976103574,10.8303787843602,-0.0822459662484558
"NT","1",1,"F","3",8.8302063476071,9.52616842588761,7.12936124823427,9.71050463077156,8.72110538610323,10.8174479735529,-0.0456678585303631
"NT","1",1,"F","4",9.22619515806954,9.69720300390682,7.46547516684914,10.0593628572188,8.8774842956219,11.0391532378786,0.303190367916825
"NT","1",1,"F","5",8.9867519367852,9.57385856972302,7.35250095658938,9.84856301070055,8.64486846937182,10.8869061398348,0.0923905213986256
"NT","1",1,"F","6",9.1462196334928,9.73306105345304,7.47428466746575,9.98102806361233,8.89869490937985,11.0659844018307,0.224855574310405
"NT","1",1,"F","7",9.00528277889482,9.72214784638125,7.59018087502496,9.91513045007325,8.8032068180794,11.0313061713028,0.158957960771319
"NT","1",1,"F","8",8.90067259732909,9.53686838625625,7.42976698952156,9.68061909203889,8.68018413407884,10.8347373829651,-0.0755533972630342
"NT","1",1,"F","9",9.1231091325677,9.73785217170949,7.40648405085037,9.89327892966347,8.889212756625,11.0295152033759,0.137106440361542
"NT","1",1,"M","1",9.10994522277935,9.69525572807501,7.29454014859795,9.58890960154183,8.83136142776559,10.8548694510626,-0.167262887760097
"NT","1",1,"M","10",8.98541839617407,9.53339986774124,7.29665809211604,9.65763620842917,8.66235953069592,10.7495535297213,-0.0985362808727608
"NT","1",1,"M","11",9.11476932949641,9.68483106686467,7.31193778419994,9.77919943000543,8.84025280648799,10.8091744266543,0.023026940703506
"NT","1",1,"M","12",8.72820335155466,9.37074230266273,7.24083899229577,9.43883136437252,8.54679731519598,10.5303113367705,-0.317341124929403
"NT","1",1,"M","13",9.14032565062057,9.6350036712304,7.54375174424998,9.74926203256156,8.83534406995945,10.8690697869285,-0.0069104567403695
"NT","1",1,"M","14",8.56906201993558,9.36023028335562,6.99343806755055,9.41573078854694,8.48589521692056,10.6053149656506,-0.340441700754987
"NT","1",1,"M","15",8.87067865911424,9.64389273404413,7.31824005370104,9.66888499474528,8.76631261977024,10.8033209465538,-0.0872874945566444
"NT","1",1,"M","16",9.05642248520951,9.61136216525988,7.32312471768726,9.7455656702489,8.8566867056284,10.8279805065513,-0.0106068190530273
"NT","1",1,"M","17",8.80531373564711,9.37508498741179,7.11742901467532,9.41143799283509,8.55389778438819,10.6417696560088,-0.34473449646684
"NT","1",1,"M","18",9.17421934658314,9.66971549166105,7.53944538215861,9.85091572057044,8.90318013526723,10.8545231166676,0.0947432312685148
"NT","1",1,"F","21",9.1090950912401,9.44604746760901,7.49713088542199,9.57840056827171,8.79176024357842,10.9674614297282,-0.177771921030219
"NT","1",1,"M","2",8.90457506391795,9.46547516684914,7.38795505324468,9.72357047861394,8.70508167055611,10.7314615239205,-0.0326020106879845
"NT","1",1,"M","20",8.95955842594577,9.68017432148454,7.21903101974711,9.86318688433173,8.72357047861394,10.7005044501184,0.107014395029804
"NT","1",1,"M","3",9.02063665581796,9.54851837796937,7.25638472194789,9.69859230778796,8.80043493020627,10.8122683923637,-0.0575801815139698
"NT","1",1,"M","4",9.07462760196816,9.58870748777413,7.32942846641379,9.69171998308877,8.76520292543371,10.7590812053783,-0.0644525062131525
"NT","1",1,"M","5",8.92720860935315,9.47158849922035,7.38715377855544,9.59574040036686,8.73229779114537,10.5193613551723,-0.160432088935069
"NT","1",1,"M","6",8.88412168019979,9.64606795392528,7.32981215525055,9.70013835406238,8.80928509316868,10.8560831386861,-0.0560341352395426
"NT","1",1,"M","7",8.75769007947958,9.37141094778979,7.01120786966554,9.45721865441455,8.57113072419602,10.5902435389892,-0.298953834887373
